TABLE SUBTITLE,NUMÉRO,PARAMÈTRE,UNITÉ
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",0,Température,K
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",1,Température virtuelle,K
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",2,Température potentielle,K
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",3,Température pseudo-adiabatique potentielle ou température potentielle équivalente,K
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",4,Température maximale*,K
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",5,Température minimale*,K
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",6,Température du point de rosée,K
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",7,Dépression du point de rosée,K
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",8,Gradient vertical de température,K m-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",9,Anomalie de température,K
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",10,Flux résultant de chaleur latente,W m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",11,Flux résultant de chaleur sensible,W m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",12,Indice thermique,K
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",13,Indice de refroidissement du vent,K
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",14,Dépression minimale du point de rosée*,K
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",15,Température potentielle virtuelle,K
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",16,Flux de chaleur résultant d'un changement de phase de la neige,W m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",17,Température pelliculaire,K
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",18,Température de la neige (en surface),K
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",19,Coefficient de transfert thermique en régime turbulent,Numérique
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",20,Coefficient de diffusion thermique par la turbulence,m² s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",21,Température apparente**,K
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",22,Tendance de la température découlant du rayonnement de courte longueur d'onde,K s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",23,Tendance de la température découlant du rayonnement de grande longueur d'onde,K s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",24,"Tendance de la température découlant du rayonnement de courte longueur d'onde, par ciel clair",K s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",25,"Tendance de la température découlant du rayonnement de grande longueur d'onde, par ciel clair",K s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",26,Tendance de la température découlant d'une paramétrisation,K s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",27,Température du thermomètre mouillé,K
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",28,Composante instable de la température,K
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",29,Advection de température,K s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",30-191,En réserve,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",192-254,En réserve pour un usage local,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",255,Valeur manquante,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",0,Humidité spécifique,kg kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",1,Humidité relative,%
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",2,Rapport de mélange,kg kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",3,Eau précipitable,kg m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",4,Tension de vapeur,Pa
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",5,Déficit de saturation,Pa
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",6,Évaporation,kg m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",7,Intensité des précipitations*,kg m-2 s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",8,Total des précipitations***,kg m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",9,Précipitations à grande échelle (non engendrées par la convection)***,kg m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",10,Précipitation de convection***,kg m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",11,Hauteur de neige,m
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",12,Équivalent en eau de l'intensité de la chute de neige*,kg m-2 s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",13,Équivalent en eau de la couverture de neige***,kg m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",14,Chute de neige de convection***,kg m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",15,Chute de neige à grande échelle***,kg m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",16,Eau de fonte des neiges,kg m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",17,Âge de la neige,jour
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",18,Humidité absolue,kg m-3
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",19,Type de précipitation,(Table de code 4.201)
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",20,Eau liquide intégrée,kg m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",21,Condensat,kg kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",22,Rapport de mélange dans les nuages,kg kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",23,Rapport de mélange glace-eau,kg kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",24,Rapport de mélange de la pluie,kg kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",25,Rapport de mélange de la neige,kg kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",26,Convergence horizontale de l'humidité,kg kg-1 s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",27,Humidité relative maximale*,%
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",28,Humidité absolue maximale*,kg m-3
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",29,Hauteur totale de neige fraîche***,m
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",30,Catégorie de l'eau précipitable,(Table de code 4.202)
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",31,Grêle,m
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",32,Neige roulée,kg kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",33,Présence de pluie,(Table de code 4.222)
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",34,Présence de pluie se congelant,(Table de code 4.222)
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",35,Présence de granules de glace,(Table de code 4.222)
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",36,Présence de neige,(Table de code 4.222)
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",37,Intensité des précipitations de convection,kg m-2 s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",38,Divergence horizontale de l'humidité,kg kg-1 s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",39,Pourcentage des précipitations se congelant,%
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",40,Évaporation potentielle,kg m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",41,Intensité de l'évaporation potentielle,W m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",42,Enneigement,%
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",43,Partie précipitée de la teneur en eau totale des nuages,Proportion
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",44,Facteur de givre,Numérique
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",45,Colonne totale intégrée de pluie,kg m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",46,Colonne totale intégrée de neige,kg m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",47,Précipitations liquides à grande échelle (non convectives)***,kg m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",48,Précipitations liquides convectives***,kg m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",49,Quantité totale d'eau précipitée***,kg m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",50,Quantité totale de neige précipitée***,kg m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",51,Colonne totale d'eau (total d'eau par intégration verticale: vapeur + eau et glace des nuages),kg m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",52,Intensité totale** des précipitations,kg m-2 s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",53,Équivalent en eau de l'intensité totale** de la chute de neige,kg m-2 s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",54,Intensité des précipitations à grande échelle,kg m-2 s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",55,Équivalent en eau de l'intensité de la chute de neige de convection,kg m-2 s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",56,Équivalent en eau de l'intensité de la chute de neige à grande échelle,kg m-2 s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",57,Intensité totale de la chute de neige,kg m-2 s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",58,Intensité de la chute de neige de convection,m s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",59,Intensité de la chute de neige à grande échelle,m s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",60,Équivalent en eau de l'épaisseur de neige,kg m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",61,Densité de la neige,kg m-3
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",62,Évaporation de la neige,kg m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",63,En réserve,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",64,Colonne intégrée total de vapeur d'eau,kg m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",65,Intensité des précipitations sous forme de pluie,kg m-2 s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",66,Intensité des précipitations sous forme de neige,kg m-2 s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",67,Intensité des précipitations sous forme de pluie se congelant,kg m-2 s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",68,Intensité des précipitations sous forme de granules de glace,kg m-2 s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",69,Colonne totale intégrée d'eau dans les nuages,kg m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",70,Colonne totale intégrée de glace dans les nuages,kg m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",71,"Rapport de mélange, grêle",kg kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",72,Colonne totale intégrée de grêle,kg m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",73,Intensité des précipitations sous forme de grêle,kg m-2 s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",74,Colonne totale intégrée de neige roulée,kg m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",75,Intensité des précipitations sous forme de neige roulée,kg m-2 s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",76,Intensité des précipitations de convection,kg m-2 s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",77,Intensité des précipitations à grande échelle,kg m-2 s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",78,"Colonne totale intégrée d'eau (toutes les composantes, y compris les précipitations)",kg m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",79,Intensité de l'évaporation,kg m-2 s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",80,Contenu total en eau condensée,kg kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",81,Contenu en eau condensée intégré sur la colonne totale,kg m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",82,"Rapport de mélange, glace des nuages",kg kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",83,Teneur spécifique en eau à l'état liquide des nuages,kg kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",84,Teneur spécifique en eau sous forme de glace des nuages,kg kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",85,Teneur spécifique en eau sous forme de pluie,kg kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",86,Teneur spécifique en eau sous forme de neige,kg kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",87,Intensité des précipitations stratiformes,kg m-2 s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",88,Précipitations convectives de diverses catégories,(Table de code 4.222)
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",89,En réserve,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",90,Flux d'humidité total,kg kg-1 m s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",91,Flux d'humidité – composante u (zonale),kg kg-1 m s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",92,Flux d'humidité – composante v (méridienne),kg kg-1 m s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",93,Humidité relative par rapport à l'eau,%
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",94,Humidité relative par rapport à la glace,%
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",95,Intensité des précipitations solides ou se congelant,kg m-2 s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",96,Concentration en masse – pluie,kg m-3
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",97,Concentration en masse – neige,kg m-3
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",98,Concentration en masse – neige roulée,kg m-3
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",99,Concentration en masse – grêle,kg m-3
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",100,Concentration en nombre massique – pluie,kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",101,Concentration en nombre massique – neige,kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",102,Concentration en nombre massique – neige roulée,kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",103,Concentration en nombre massique – grêle,kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",104,Concentration en nombre – pluie,m-3
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",105,Concentration en nombre – neige,m-3
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",106,Concentration en nombre – neige roulée,m-3
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",107,Concentration en nombre – grêle,m-3
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",108,Tendance de l'humidité spécifique découlant d'une paramétrisation,kg kg-1 s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",109,Densité de masse de la pellicule d'eau liquide à la surface des grêlons exprimée en masse d'eau liquide par unité de volume d'air,kg m-3
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",110,Masse spécifique de la pellicule d'eau liquide à la surface des grêlons exprimée en masse d'eau liquide par unité de masse d'air humide,kg kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",111,Rapport de mélange de la pellicule d'eau liquide à la surface des grêlons exprimé en masse d'eau liquide par unité de masse d'air sec,kg kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",112,Densité de masse de la pellicule d'eau liquide de la neige roulée exprimée en masse d'eau liquide par unité de volume d'air,kg m-3
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",113,Masse spécifique de la pellicule d'eau liquide de la neige roulée exprimée en masse d'eau liquide par unité de masse d'air humide,kg kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",114,Rapport de mélange de la pellicule d'eau liquide de la neige roulée exprimé en masse d'eau liquide par unité de masse d'air sec,kg kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",115,Densité de masse de la pellicule d'eau liquide de la neige exprimée en masse d'eau liquide par unité de volume d'air,kg m-3
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",116,Masse spécifique de la pellicule d'eau liquide de la neige exprimée en masse d'eau liquide par unité de masse d'air humide,kg kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",117,Rapport de mélange de la pellicule d'eau liquide de la neige exprimé en masse d'eau liquide par unité de masse d'air sec,kg kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",118,Composante instable de l'humidité spécifique,kg kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",119,Composante instable de la teneur spécifique en eau à l'état liquide des nuages,kg kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",120,Composante instable de la teneur spécifique en eau sous forme de glace des nuages,kg kg-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",121,Fraction de l'enneigement,Proportion
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",122-128,En réserve,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",129,Rayon effectif de l'eau des nuages,m
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",130,Rayon effectif de la pluie,m
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",131,Rayon effectif de la glace des nuages,m
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",132,Rayon effectif de la neige,m
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",133,Rayon effectif de la neige roulée,m
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",134,Rayon effectif de la grêle,m
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",135,Rayon effectif des nuages liquides à une échelle inférieure au pas de grille,m
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",136,Rayon effectif des nuages de glace à une échelle inférieure au pas de grille,m
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",137,Rapport de forme effectif de la pluie,–
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",138,Rapport de forme effectif de la glace des nuages,–
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",139,Rapport de forme effectif de la neige,–
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",140,Rapport de forme effectif de la neige roulée,–
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",141,Rapport de forme effectif de la grêle,–
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",142,Rapport de forme effectif des nuages de glace à une échelle inférieure au pas de grille,–
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",143-191,En réserve,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",192-254,En réserve pour un usage local,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",255,Valeur manquante,
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",0,Direction du vent (d'où souffle le vent),Degré vrai
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",1,Vitesse du vent,m s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",2,Composante u,m s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",3,Composante v,m s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",4,Fonction de courant,m² s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",5,Potentiel de vitesse,m² s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",6,Fonction de courant de Montgomery,m² s-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",7,Vitesse verticale de coordonnée sigma,s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",8,Vitesse verticale (pression),Pa s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",9,Vitesse verticale (géométrique),m s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",10,Tourbillon absolu,s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",11,Divergence absolue,s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",12,Tourbillon relatif,s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",13,Divergence relative,s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",14,Tourbillon potentiel,K m² kg-1 s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",15,Composante u du cisaillement vertical,s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",16,Composante v du cisaillement vertical,s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",17,"Flux de quantité de mouvement, composante u",N m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",18,"Flux de quantité de mouvement, composante v",N m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",19,Énergie de mélange du vent,J
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",20,Dissipation dans la couche limite,W m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",21,Vitesse maximale du vent*,m s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",22,Vitesse du vent (rafale),m s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",23,Composante u (rafale),m s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",24,Composante v (rafale),m s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",25,Cisaillement vertical du vent en vitesse,s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",26,Flux horizontal de quantité de mouvement,N m-2
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",27,Déplacement de la tempête – composante u,m s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",28,Déplacement de la tempête – composante v,m s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",29,Coefficient de frottement,Numérique
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",30,Vitesse de frottement,m s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",31,Coefficient de diffusion de la quantité de mouvement par la turbulence,m² s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",32,Vitesse verticale de coordonnée Eta,s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",33,Fetch,m
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",34,Composante du vent normal **,m s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",35,Composante du vent tangentiel **,m s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",36,Fonction d'amplitude de l'enveloppe des ondes de Rossby par vent méridien***,m s-1
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",37,Tension de surface en écoulement turbulent vers le nord****,N m-2 s
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",38,Tension de surface en écoulement turbulent vers l'est****,N m-2 s
"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 2: quantité de mouvement",39,Tendance de la composante est du vent découlant d'une paramétrisation,m s-2
